"Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"The Sword in the Stone","1963","G",1963-12-25,"79 min","Animation, Adventure, Comedy","Wolfgang Reitherman","Bill Peet (story), T.H. White (based on the book by)","Sebastian Cabot, Karl Swenson, Rickie Sorensen, Junius Matthews","A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in England history.","English","USA","Nominated for 1 Oscar. Another 1 win.","http://ia.media-imdb.com/images/M/MV5BMTcxMTE5NjkwN15BMl5BanBnXkFtZTYwODMwNzQ5._V1_SX300.jpg","N/A",7.2,65675,"tt0057546","movie",71,"fresh",6,24,17,7,"A decent take on the legend of King Arthur, The Sword in the Stone suffers from relatively indifferent animation, but its characters are still memorable and appealing.",74,3.3,193752,"http://www.rottentomatoes.com/m/sword_in_the_stone/",2001-03-20,"N/A","Buena Vista Pictures","N/A","True"
"The Jungle Book","1967","APPROVED",1967-12-07,"78 min","Animation, Adventure, Comedy","Wolfgang Reitherman","Larry Clemmons (story), Ralph Wright (story), Ken Anderson (story), Vance Gerry (story), Rudyard Kipling (inspired by the Mowgli stories)","Phil Harris, Sebastian Cabot, Bruce Reitherman, George Sanders","Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.","English","USA","Nominated for 1 Oscar. Another 4 wins & 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMjAwMTExODExNl5BMl5BanBnXkFtZTgwMjM2MDgyMTE@._V1_SX300.jpg","N/A",7.6,124476,"tt0061852","movie",86,"fresh",7.2,37,32,5,"With expressive animation, fun characters, and catchy songs, The Jungle Book endures as a crowd-pleasing Disney classic.",82,3.5,714217,"http://www.rottentomatoes.com/m/1031385-jungle_book/",2014-02-11,"N/A","Buena Vista Pictures","N/A","True"
"The AristoCats","1970","G",1970-12-24,"78 min","Animation, Adventure, Comedy","Wolfgang Reitherman","Larry Clemmons (story), Vance Gerry (story), Ken Anderson (story), Frank Thomas (story), Eric Cleworth (story), Julius Svendsen (story), Ralph Wright (story), Tom McGowan (based on a story by), Tom Rowe (based on a story by)","Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers","With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.","English","USA","3 wins & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMjA4OTg4MDQ4NF5BMl5BanBnXkFtZTgwNjY0MzcxMTE@._V1_SX300.jpg","N/A",7.1,64811,"tt0065421","movie",66,"fresh",6,29,19,10,"Though The Aristocats is a mostly middling effort for Disney, it is redeemed by terrific work from its voice cast and some jazzy tunes.",70,3.3,273094,"http://www.rottentomatoes.com/m/aristocats/",2000-04-04,"N/A","Buena Vista","N/A","True"
"Robin Hood","1973","G",1973-12-06,"83 min","Animation, Adventure, Comedy","Wolfgang Reitherman","Larry Clemmons (story), Ken Anderson (based on: character and story conceptions by), Ken Anderson (story sequences), Vance Gerry (story sequences), Frank Thomas (story sequences), Eric Cleworth (story sequences), Julius Svendsen (story sequences), David Michener (story sequences)","Roger Miller, Peter Ustinov, Terry-Thomas, Brian Bedford","The story of the legendary outlaw is portrayed with the characters as humanoid animals.","English","USA","Nominated for 1 Oscar. Another 1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMjE2MjI0NjQ3Ml5BMl5BanBnXkFtZTcwMDk5ODczMQ@@._V1._CR0,34,352,463_SY132_CR5,0,89,132_AL_.jpg_V1_SX300.jpg","N/A",7.6,84904,"tt0070608","movie",52,"rotten",5.4,25,13,12,"One of the weaker Disney adaptations, Robin Hood is cute and colorful but lacks the majesty and excitement of the studio's earlier efforts.",81,3.5,271166,"http://www.rottentomatoes.com/m/1017699-robin_hood/",2000-07-04,"N/A","Buena Vista Pictures","N/A","True"
"The Rescuers","1977","G",1977-06-22,"78 min","Animation, Adventure, Comedy","John Lounsbery, Wolfgang Reitherman, Art Stevens","Margery Sharp (suggested by ""The Rescuers"" and ""Miss Bianca"" by), Larry Clemmons (story), Ken Anderson (story), Frank Thomas (story), Vance Gerry (story), David Michener (story), Ted Berman (story), Fred Lucky (story), Burny Mattinson (story), Dick Sebast (story)","Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn","Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.","English","USA","Nominated for 1 Oscar. Another 2 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0OTE1MjQzM15BMl5BanBnXkFtZTYwNzYyNzk5._V1_SX300.jpg","N/A",6.9,43930,"tt0076618","movie",83,"fresh",6.6,29,24,5,"Featuring superlative animation, off-kilter characters, and affectionate voice work by Bob Newhart and Eva Gabor, The Rescuers represents a bright spot in Disney's post-golden age.",69,3.3,79506,"http://www.rottentomatoes.com/m/rescuers/",2003-05-20,"N/A","Walt Disney Pictures","N/A","True"
"The Many Adventures of Winnie the Pooh","1977","G",1977-03-11,"74 min","Animation, Comedy, Family","John Lounsbery, Wolfgang Reitherman","A.A. Milne (books), Larry Clemmons (story), Ralph Wright (story), Vance Gerry (story), Xavier Atencio (story), Ken Anderson (story), Julius Svendsen (story), Ted Berman (story), Eric Cleworth (story), Winston Hibler (story supervisor ""Blustery Day"")","Sebastian Cabot, Junius Matthews, Barbara Luddy, Howard Morris","A collection of animated shorts based on the stories and characters by A. A. Milne.","English","USA","1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTY3OTkyMzYwNV5BMl5BanBnXkFtZTcwMzkzODU0MQ@@._V1_SX300.jpg","N/A",7.6,24342,"tt0076363","movie",92,"fresh",7.9,13,12,1,"Perhaps the most faithful of Disney's literary adaptations, this cute, charming collection of episodes captures the spirit of A.A. Milne's classic stories.",88,3.7,31158,"http://www.rottentomatoes.com/m/many_adventures_of_winnie_the_pooh/",2002-05-07,"N/A","Walt Disney Productions","N/A","True"
"The Fox and the Hound","1981","G",1981-07-10,"83 min","Animation, Adventure, Drama","Ted Berman, Richard Rich, Art Stevens","Daniel P. Mannix (based on the book by), Larry Clemmons (story), Ted Berman (story), David Michener (story), Peter Young (story), Burny Mattinson (story), Steve Hulett (story), Earl Kress (story), Vance Gerry (story)","Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson","Two childhood friends find themselves forced to become enemies.","English","USA","1 win & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMDQzZWRlYjctMjE0ZS00NWU5LWE3NzktYzZiNzJiM2UxMDczXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg","N/A",7.3,64287,"tt0082406","movie",69,"fresh",6.6,26,18,8,"The Fox and the Hound is a likeable, charming, unassuming effort that manages to transcend its thin, predictable plot.",78,3.5,312931,"http://www.rottentomatoes.com/m/fox_and_the_hound/",2000-05-02,"N/A","Buena Vista Pictures","N/A","True"
"The Black Cauldron","1985","PG",1985-07-24,"80 min","Animation, Adventure, Family","Ted Berman, Richard Rich","Lloyd Alexander (novel), David Jonas (story), Vance Gerry (story), Ted Berman (story), Richard Rich (story), Al Wilson (story), Roy Morita (story), Peter Young (story), Art Stevens (story), Joe Hale (story), Rosemary Anne Sisson (additional dialogue), Roy Edward Disney (additional dialogue), Tony Marino (additional story contributions), Steve Hulett (additional story contributions), Mel Shaw (additional story contributions), Burny Mattinson (additional story contributions), John Musker (additional story contributions), Ron Clements (additional story contributions), Doug Lefler (additional story contributions)","Grant Bardsley, Susan Sheridan, Freddie Jones, Nigel Hawthorne","A young boy and a bunch of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BNjMwNDU2ODk1M15BMl5BanBnXkFtZTcwMjg4MDYyMQ@@._V1_SX300.jpg","N/A",6.5,22077,"tt0088814","movie",55,"rotten",5.7,29,16,13,"Ambitious but flawed, The Black Cauldron is technically brilliant as usual, but lacks the compelling characters of other Disney animated classics.",48,3.1,45412,"http://www.rottentomatoes.com/m/black_cauldron/",2000-10-03,"N/A","Walt Disney Productions","N/A","True"
"The Great Mouse Detective","1986","G",1986-07-02,"74 min","Animation, Adventure, Family","Ron Clements, Burny Mattinson, David Michener, John Musker","Peter Young (story adapted by), Vance Gerry (story adapted by), Steve Hulett (story adapted by), Ron Clements (story adapted by), John Musker (story adapted by), Bruce Morris (story adapted by), Matthew O'Callaghan (story adapted by), Burny Mattinson (story adapted by), David Michener (story adapted by), Mel Shaw (story adapted by), Eve Titus (based on ""Basil Of Baker Street""), Paul Galdone (based on ""Basil Of Baker Street"")","Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek","Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy-maker and uncovers its link to his arch-enemy, Professor Ratigan.","English, French, German, Italian","USA","1 win & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjY5MjU1MV5BMl5BanBnXkFtZTYwNjg2MzI5._V1_SX300.jpg","N/A",7.2,33829,"tt0091149","movie",81,"fresh",6.9,16,13,3,"The Great Mouse Detective may not rank with Disney's classics, but it's an amiable, entertaining picture with some stylishly dark visuals.",79,3.4,58524,"http://www.rottentomatoes.com/m/the-great-mouse-detective/",2002-07-23,"N/A","Walt Disney Productions","N/A","True"
"The Little Mermaid","1989","G",1989-11-17,"83 min","Animation, Family, Fantasy","Ron Clements, John Musker","John Musker, Ron Clements, Hans Christian Andersen (fairy tale), Howard Ashman (additional dialogue), Gerrit Graham (additional dialogue), Sam Graham (additional dialogue), Chris Hubbell (additional dialogue)","Rene Auberjonois, Christopher Daniel Barnes, Jodi Benson, Pat Carroll","A mermaid princess makes a Faustian bargain with an unscrupulous sea-witch in order to meet a human prince on land.","English, French","USA","Won 2 Oscars. Another 10 wins & 8 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNTAxMzY0MjI1Nl5BMl5BanBnXkFtZTgwMTU2NTYxMTE@._V1_SX300.jpg","N/A",7.6,172736,"tt0097757","movie",92,"certified",8.1,65,60,5,"The Little Mermaid ushered in a new golden era for Disney animation with warm and charming hand-drawn characters and catchy musical sequences.",88,3.6,898819,"http://www.rottentomatoes.com/m/the_little_mermaid_1989/",1999-12-07,"N/A","Walt Disney Pictures","http://www.facebook.com/DisneyTheLittleMermaid","True"
"The Rescuers Down Under","1990","G",1990-11-16,"77 min","Animation, Adventure, Crime","Hendel Butoy, Mike Gabriel","Jim Cox (animation screenplay by), Karey Kirkpatrick (animation screenplay by), Byron Simpson (animation screenplay by), Joe Ranft (animation screenplay by), Joe Ranft (story supervisor), Margery Sharp (suggested by characters created by)","Bob Newhart, Eva Gabor, John Candy, Tristan Rogers","The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a boy and a rare golden eagle from a murderous poacher.","English","USA","6 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwNDk4NDA4Ml5BMl5BanBnXkFtZTYwODg4ODk4._V1_SX300.jpg","N/A",6.9,27411,"tt0100477","movie",68,"fresh",6.2,25,17,8,"Though its story is second-rate, The Rescuers Down Under redeems itself with some remarkable production values -- particularly its flight scenes.",68,3.2,81751,"http://www.rottentomatoes.com/m/rescuers_down_under/",1997-05-20,"N/A","Silver Screen Partners IV","N/A","True"
"Beauty and the Beast","1991","G",1991-11-22,"84 min","Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","Linda Woolverton (animation screenplay by), Brenda Chapman (story), Chris Sanders (story), Burny Mattinson (story), Kevin Harkey (story), Brian Pimental (story), Bruce Woodside (story), Joe Ranft (story), Tom Ellery (story), Kelly Asbury (story), Robert Lence (story)","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","Belle, whose father is imprisoned by the Beast, offers herself instead, unaware her captor to be an enchanted prince.","English, French","USA","Won 2 Oscars. Another 25 wins & 21 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMDgwODY0OV5BMl5BanBnXkFtZTgwODI5NTQ5MTE@._V1_SX300.jpg","N/A",8,312503,"tt0101414","movie",93,"certified",8.4,105,98,7,"Enchanting, sweepingly romantic, and featuring plenty of wonderful musical numbers, Beauty and the Beast is one of Disney's most elegant animated offerings.",92,3.7,758257,"http://www.rottentomatoes.com/m/beauty_and_the_beast_1991/",2002-10-08,"$47,611,331.00","Buena Vista","http://www.disney.com/beautyandthebeast","True"
"Aladdin","1992","G",1992-11-25,"90 min","Animation, Adventure, Comedy","Ron Clements, John Musker","Ron Clements (screenplay), John Musker (screenplay), Ted Elliott (screenplay), Terry Rossio (screenplay), Burny Mattinson (story), Roger Allers (story), Daan Jippes (story), Kevin Harkey (story), Sue C. Nichols (story), Francis Glebas (story), Darrell Rooney (story), Larry Leker (story), James Fujii (story), Kirk Hanson (story), Kevin Lima (story), Rebecca Rees (story), David S. Smith (story), Chris Sanders (story), Brian Pimental (story), Patrick A. Ventura (story)","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman","When a street urchin vies for the love of a beautiful princess, he uses a genie's magic power to make himself off as a prince in order to marry her.","English","USA","Won 2 Oscars. Another 25 wins & 18 nominations.","http://ia.media-imdb.com/images/M/MV5BNTI4ODQ1MzAzNV5BMl5BanBnXkFtZTgwMzU4NzMxMDE@._V1_SX300.jpg","N/A",8,262827,"tt0103639","movie",94,"certified",8.1,68,64,4,"A highly entertaining entry in Disney's renaissance era,"" Aladdin is beautifully drawn, with near-classic songs and a cast of scene-stealing characters.",92,3.7,937638,"http://www.rottentomatoes.com/m/1042582-aladdin/",2004-10-05,"N/A","Buena Vista Distribution Compa","http://disney.go.com/vault/archives/characters/aladdin/aladdin.html","True"
"The Lion King","1994","G",1994-06-24,"89 min","Animation, Adventure, Drama","Roger Allers, Rob Minkoff","Irene Mecchi (screenplay), Jonathan Roberts (screenplay), Linda Woolverton (screenplay), Burny Mattinson (story), Barry Johnson (story), Lorna Cook (story), Thom Enriquez (story), Andy Gaskill (story), Gary Trousdale (story), Jim Capobianco (story), Kevin Harkey (story), Jorgen Klubien (story), Chris Sanders (story), Tom Sito (story), Larry Leker (story), Joe Ranft (story), Rick Maki (story), Ed Gombert (story), Francis Glebas (story), Mark Kausler (story), J.T. Allen (additional story material), George Scribner (additional story material), Miguel Tejada-Flores (additional story material), Jenny Tripp (additional story material), Bob Tzudiker (additional story material), Christopher Vogler (additional story material), Kirk Wise (additional story material), Noni White (additional story material), Brenda Chapman (story supervisor)","Matthew Broderick, Jonathan Taylor Thomas, James Earl Jones, Jim Cummings","Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.","English, Swahili, Xhosa, Zulu","USA","Won 2 Oscars. Another 32 wins & 30 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMzgwNTUzMl5BMl5BanBnXkFtZTcwNTMxMzM3Ng@@._V1_SX300.jpg","83",8.5,655322,"tt0110357","movie",92,"certified",8.3,119,109,10,"Emotionally stirring, richly drawn, and beautifully animated, The Lion King stands tall within Disney's pantheon of classic family films.",93,4,1266899,"http://www.rottentomatoes.com/m/the_lion_king/",2003-10-07,"$94,240,635.00","Buena Vista","http://disney.go.com/lionking/","True"
